ds_id,range_min,range_max
2024-02-15_23h30m14s,70.0008773803711,699.5014038085938
2024-02-15_23h21m47s,70.00077819824219,699.5846557617188
2024-02-15_23h19m17s,70.0007095336914,699.5010375976562
2024-02-15_23h14m31s,70.0008773803711,699.5005493164062
2024-02-15_23h08m26s,70.0008316040039,699.5014038085938
2024-02-15_23h06m43s,70.00079345703125,699.5147705078125
2024-02-15_23h05m29s,70.000732421875,699.5155639648438
2024-02-15_23h04m36s,70.00103759765625,699.499755859375
2024-02-15_22h43m28s,70.00052642822266,699.50048828125
2024-02-15_22h35m32s,70.00054931640625,699.4993896484375
2024-02-15_22h39m22s,70.00040435791016,699.5350341796875
2024-02-15_22h33m01s,70.00061798095703,699.5007934570312
2024-02-15_22h32m22s,70.0005111694336,699.499755859375
2024-02-15_22h30m57s,70.00138854980469,699.5005493164062
2024-02-15_22h23m27s,70.00049591064453,699.5536499023438
2024-02-15_22h26m06s,70.00084686279297,699.4996337890625
2024-02-15_22h27m12s,70.00068664550781,699.5145263671875
2024-02-15_22h17m42s,70.00040435791016,699.5018920898438
2024-02-15_22h06m56s,70.00037384033203,699.5009155273438
2024-02-15_22h02m12s,70.00067901611328,699.5343017578125
2024-02-15_21h59m00s,70.00117492675781,699.4990844726562
2024-02-15_22h00m15s,70.00053405761719,699.5005493164062
2021-11-09_15h54m35s,200.0023956298828,2000.0096435546875
2023-08-11_01h46m25s,150.485531,1999.98551
2023-08-11_01h56m50s,150.485531,1999.98551
2023-06-06_03h30m21s,70.00756072998047,499.3088073730469
2023-06-06_03h19m16s,70.00082397460938,499.78411865234375
2023-06-06_03h30m59s,70.0006332397461,499.307861328125
2024-02-06_14h05m28s,198.012592877309,2489.869816801425
2023-11-22_10h40m34s,312.08854,1499.955001
2024-02-05_18h47m45s,239.58158,1099.783764
2024-02-05_18h46m05s,239.581341,1098.859436
2024-02-05_16h57m12s,308.804052,1499.760019
2024-01-31_16h51m52s,198.012805262962,2489.868605351072
2024-01-29_19h29m15s,246.190615,1199.482047
2024-01-29_19h26m21s,246.190615,1199.482047
2024-01-26_21h50m38s,40.0016,999.98
2024-01-26_21h33m10s,50.0025,500.0
2024-01-26_23h52m33s,246.191132,1199.486686
2024-01-26_22h07m33s,40.0024,999.98
2024-01-26_21h51m05s,40.0024,999.98
2024-01-26_21h13m34s,50.00225,499.9875
2024-01-26_21h20m10s,50.00225,500.0
2024-01-26_21h07m45s,50.002,499.995
2024-01-25_07h24m55s,239.785688,1098.891071
2024-01-25_07h23m51s,239.815027,1098.861451
2024-01-25_07h23m29s,239.951662,1098.885147
2024-01-25_07h22m42s,239.785688,1098.896995
2024-01-25_07h22m17s,239.785688,1098.896995
2024-01-25_07h22m02s,239.920312,1098.873299
2024-01-25_07h21m27s,239.920312,1099.750741
2024-01-25_07h21m00s,239.785406,1099.513456
2024-01-25_07h20m37s,239.785688,1099.513456
2024-01-25_07h20m16s,239.785688,1099.513456
2024-01-25_07h19m55s,239.785688,1099.513456
2024-01-25_07h19m03s,246.340848,1195.431868
2024-01-25_07h18m35s,246.340848,1194.321672
2024-01-25_07h17m49s,246.340848,1194.321672
2024-01-25_07h17m16s,246.340848,1199.85529
2024-01-25_07h16m49s,246.340848,1195.439427
2024-01-25_07h16m26s,246.340848,1195.424308
2024-01-25_07h14m53s,246.19071,1194.314127
2024-01-25_07h15m29s,246.340848,1194.314127
2024-01-25_07h15m49s,246.19071,1194.321672
2024-01-25_07h15m11s,246.340848,1194.299036
2024-01-19_23h35m04s,10.0,1172.503170738973
2024-01-23_21h00m14s,50.002,499.995
2024-01-23_00h26m38s,10.0,1172.1529059605032
2024-01-16_21h17m48s,50.00225,499.9875
2024-01-16_21h50m01s,50.0025,500.0
2024-01-16_21h09m39s,50.002,499.995
2024-01-16_21h28m13s,50.00225,500.0
