hmdb_primary,polar_surface_area,polarizability
HMDB0001032,80.67,39.85
HMDB0001035,408.84,107.02
HMDB0001036,342.44,98.53
HMDB0001038,248.94,81.13
HMDB0001039,0.0,1.19
HMDB0001041,363.63,78.4
HMDB0001043,37.3,37.2
HMDB0001044,181.52,29.72
HMDB0001045,199.95,57.94
HMDB0001046,33.2,18.57
HMDB0001047,203.44,25.24
HMDB0001049,129.72,23.36
HMDB0001050,20.23,3.49
HMDB0001051,57.53,8.07
HMDB0001052,383.86,74.9
HMDB0001054,145.91,48.82
HMDB0001056,207.6,44.31
HMDB0001057,400.93,80.16
HMDB0001058,203.44,25.7
HMDB0001059,307.5,34.19
HMDB0001060,58.92,94.28
HMDB0001061,60.69,9.38
HMDB0001062,165.78,25.8
HMDB0001063,77.76,70.25
HMDB0001064,363.63,103.13
HMDB0001065,46.25,15.18
HMDB0001066,196.12,36.01
HMDB0001067,170.1,27.75
HMDB0001068,177.14,23.22
HMDB0001069,151.57,36.34
HMDB0001070,363.63,83.59
HMDB0001072,52.6,112.37
HMDB0001076,156.91,21.06
HMDB0001078,156.91,20.99
HMDB0001080,43.09,9.72
HMDB0001081,343.95,63.23
HMDB0001083,432.31,118.72
HMDB0001084,49.66,12.84
HMDB0001085,77.76,39.51
HMDB0001086,361.56,81.55
HMDB0001087,69.92,17.67
HMDB0001088,363.63,75.82
HMDB0001090,170.82,23.46
HMDB0001091,65.82,36.89
HMDB0001093,17.07,48.85
HMDB0001094,113.29,86.26
HMDB0001095,307.2,47.87
HMDB0001096,109.85,9.12
HMDB0001097,137.76,64.52
HMDB0001101,46.53,14.99
HMDB0001104,125.04,21.58
HMDB0001106,43.09,7.71
HMDB0001107,146.21,28.47
HMDB0001109,162.7,21.43
HMDB0001112,104.06,12.54
HMDB0001113,370.61,77.01
HMDB0001114,363.63,104.58
HMDB0001117,182.49,36.25
HMDB0001119,70.42,18.13
HMDB0001120,113.29,19.19
HMDB0001121,165.78,25.24
HMDB0001122,29.1,5.76
HMDB0001123,63.32,13.29
HMDB0001124,236.06,35.55
HMDB0001125,136.68,19.03
HMDB0001126,24.92,16.66
HMDB0001127,153.75,19.89
HMDB0001128,142.47,18.66
