row_id,occupancy_ratio,on_off_ratio,spot_occupancy,spot_occupancy_thresholded,image_occupancy,other_spots_occupancy,bg_occupancy,far_bg_occupancy,occupancy_vs_far_bg_ratio,in_n_spots,spot_intensity,spot_intensity_tic_norm,spot_intensity_bgr_corrected,spot_intensity_sum,spot_intensity_std,other_spot_intensity,bg_intensity,far_bg_intensity,intensity_vs_far_bg_ratio,intensity_vs_other_spots_ratio
2021-03-24_21h05m49s_C81H150O17P2_+Na__30,83.74574553464203,2946.202791982798,0.8846153846153846,0.8846153846153846,0.0018162947586922678,0.0003069995906672124,0.0005631083581369157,0.0005631083581369157,88.10027926906271,3,775.3516,0.00030694494,775.3445,40318.285,472.6626,0.09160713,0.2621698,0.007169426,94908.94806793418,8372.482924666301
2021-03-24_21h05m49s_C81H150O17P2_+K__30,0.0,0.0,0.0,0.0,0.0001441503776739895,0.0,0.00020111012790604134,0.00020111012790604134,0.0,0,0.0,0.0,-0.023670994,0.0,0.0,0.0,0.031263288,0.023670994,0.0,0.0
2021-03-24_21h05m49s_C81H150O17P2_+H__30,0.0,0.0,0.0,0.0,2.8830075534797902e-05,0.00010233319688907081,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.017354377,0.0,0.0,0.0,0.0
2021-04-11_21h56m24s_C81H150O17P2_+K__30,0.0,0.0,0.0,0.0,5.509641873278237e-05,0.00010241704219582139,3.7758646730101195e-05,3.7758646730101195e-05,0.0,1,0.0,0.0,-0.0052372026,0.0,0.0,0.017437005,0.0051428764,0.0052372026,0.0,0.0
2021-04-11_21h56m24s_C81H150O17P2_+Na__30,3.8461538461538463,12784.709930419922,0.038461538461538464,0.038461538461538464,5.509641873278237e-05,0.0,0.0,0.0,3.8461538461538463,1,12.78471,3.2965468e-06,12.78471,664.80493,64.01182,0.0,0.0,0.0,12784.709930419922,12784.709930419922
2021-04-11_21h56m24s_C81H150O17P2_+H__30,0.0,0.0,0.0,0.0,8.264462809917356e-05,0.00010241704219582139,7.551729346020239e-05,7.551729346020239e-05,0.0,1,0.0,0.0,-0.0112086935,0.0,0.0,0.016232478,0.011006815,0.0112086935,0.0,0.0
2021-04-26_16h00m28s_C81H150O17P2_+Na__30,47.363932967521876,8048.890530977239,0.4807692307692308,0.4807692307692308,0.0008241758241758242,0.00010229132569558102,0.0001505343971097396,0.0001505343971097396,47.351206286449134,2,152.63567,0.00073875394,152.61737,7937.0547,218.65111,0.011298694,0.017963566,0.018289125,7913.042665909706,12410.72177352093
2021-04-26_16h00m28s_C81H150O17P2_+H__30,1.9230769230769231,2426.9869327545166,0.019230769230769232,0.019230769230769232,2.7472527472527473e-05,0.0,0.0,0.0,1.9230769230769231,1,2.426987,1.3760324e-05,2.426987,126.20332,17.332155,0.0,0.0,0.0,2426.9869327545166,2426.9869327545166
2021-02-16_06h28m34s_C21H29N7O14P2_+Na__65,20.870766348502123,2551.9335566018394,0.21153846153846154,0.21153846153846154,0.0005340929321701976,0.0006137479541734861,0.00013563460038655862,0.00013563460038655862,20.937401616119217,2,142.92787,1.5386611e-05,142.88158,7432.249,332.14917,0.47150406,0.055007678,0.046296414,3021.960010345454,302.4902494464045
2021-02-16_06h28m34s_C21H29N7O14P2_+H__65,0.0,0.0,0.0,0.0,0.0005340929321701976,0.0016366612111292963,0.00016954325048319826,0.00016954325048319826,0.0,3,0.0,0.0,-0.13269192,0.0,0.0,0.8969302,0.13747959,0.13269192,0.0,0.0
2021-02-19_12h11m04s_C21H29N7O14P2_+H__65,39.467777720447856,1663.3928859788857,0.5961538461538461,0.5961538461538461,0.008312200619892927,0.013604746317512274,0.005104824253760424,0.005104824253760424,39.95342304316425,58,2463.616,0.0005677623,2462.7031,128108.03,3907.3838,12.332089,1.4800788,0.9127972,2696.020443950921,199.75659642717656
2021-02-19_12h11m04s_C21H29N7O14P2_+Na__65,5.304251692846285,149.94777416617399,0.8076923076923077,0.6538461538461539,0.15553677092138632,0.1868862520458265,0.14227262099602525,0.14227262099602525,5.320675214948896,143,4714.57,0.0010586596,4684.0005,245157.64,7502.4106,61.84974,31.440413,30.569433,154.21992195795534,76.22495534813594
2021-02-19_12h11m04s_C21H29N7O14P2_+K__65,16.473184481863363,737.3214214015796,0.17307692307692307,0.17307692307692307,0.0016906170752324597,0.0038870703764320785,0.0005065856129685917,0.0005065856129685917,16.458539573420502,14,80.79373,1.9137367e-05,80.68315,4201.274,203.6278,1.7829581,0.108577356,0.1105811,724.0807959308918,45.28902860951663
2021-03-05_15h01m51s_C21H29N7O14P2_+Na__65,20.71583298159548,2299.0023436881584,0.21153846153846154,0.21153846153846154,0.0006805391964402565,0.0009206219312602291,0.0002114388413151496,0.0002114388413151496,20.928908931779947,4,137.15782,1.9363804e-05,137.1354,7132.207,307.24475,0.4238177,0.058659714,0.022417469,5857.072852204245,322.86277980418834
2021-03-05_15h01m51s_C21H29N7O14P2_+H__65,3.753561498514554,239.0288149402215,0.038461538461538464,0.038461538461538464,0.0007067137809187279,0.0018412438625204583,0.00024667864820100786,0.00024667864820100786,3.752059983493248,7,12.337858,1.592776e-06,12.2864,641.5686,61.946014,0.8291519,0.050616615,0.05145802,235.19489023337206,14.86216893272007
